Created Date,Incident Zip,Borough
06/19/2011 12:00:00 AM,10039,MANHATTAN
06/19/2011 12:00:00 AM,11234,BROOKLYN
06/19/2011 12:00:00 AM,11217,BROOKLYN
06/19/2011 12:00:00 AM,11385,QUEENS
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/19/2011 12:00:00 AM,10029,MANHATTAN
06/19/2011 12:00:00 AM,10475,BRONX
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/19/2011 12:00:00 AM,10075,MANHATTAN
06/20/2011 12:00:00 AM,11238,BROOKLYN
06/20/2011 12:00:00 AM,11213,BROOKLYN
06/20/2011 12:00:00 AM,10022,MANHATTAN
06/20/2011 12:00:00 AM,11214,BROOKLYN
06/20/2011 12:00:00 AM,10025,MANHATTAN
06/20/2011 12:00:00 AM,11224,BROOKLYN
06/20/2011 12:00:00 AM,10009,MANHATTAN
06/20/2011 12:00:00 AM,10453,BRONX
06/20/2011 12:00:00 AM,10075,MANHATTAN
06/20/2011 12:00:00 AM,10019,MANHATTAN
06/20/2011 12:00:00 AM,11217,BROOKLYN
06/20/2011 12:00:00 AM,11436,QUEENS
06/20/2011 12:00:00 AM,10467,BRONX
06/20/2011 12:00:00 AM,10461,BRONX
06/20/2011 12:00:00 AM,10029,MANHATTAN
06/20/2011 12:00:00 AM,11210,BROOKLYN
06/20/2011 12:00:00 AM,10034,MANHATTAN
06/20/2011 12:00:00 AM,11203,BROOKLYN
06/20/2011 12:00:00 AM,11104,QUEENS
06/20/2011 12:00:00 AM,10014,MANHATTAN
06/20/2011 12:00:00 AM,11419,QUEENS
06/20/2011 12:00:00 AM,11385,QUEENS
06/20/2011 12:00:00 AM,10007,MANHATTAN
06/20/2011 12:00:00 AM,10027,MANHATTAN
06/20/2011 12:00:00 AM,11385,QUEENS
06/20/2011 12:00:00 AM,11378,QUEENS
06/20/2011 12:00:00 AM,10031,MANHATTAN
06/20/2011 12:00:00 AM,10029,MANHATTAN
06/20/2011 12:00:00 AM,11216,BROOKLYN
06/20/2011 12:00:00 AM,11413,QUEENS
06/20/2011 12:00:00 AM,10305,STATEN ISLAND
06/20/2011 12:00:00 AM,11238,BROOKLYN
06/20/2011 12:00:00 AM,11219,BROOKLYN
06/20/2011 12:00:00 AM,10009,MANHATTAN
06/20/2011 12:00:00 AM,10034,MANHATTAN
06/20/2011 12:00:00 AM,11225,BROOKLYN
06/20/2011 12:00:00 AM,11385,QUEENS
06/20/2011 12:00:00 AM,11385,QUEENS
06/20/2011 12:00:00 AM,10024,MANHATTAN
06/20/2011 12:00:00 AM,10011,MANHATTAN
06/20/2011 12:00:00 AM,,BROOKLYN
06/20/2011 12:00:00 AM,10034,MANHATTAN
06/20/2011 12:00:00 AM,11418,QUEENS
06/20/2011 12:00:00 AM,11217,BROOKLYN
06/20/2011 12:00:00 AM,11238,BROOKLYN
06/20/2011 12:00:00 AM,11217,BROOKLYN
06/20/2011 12:00:00 AM,10025,MANHATTAN
06/20/2011 12:00:00 AM,10021,MANHATTAN
06/20/2011 12:00:00 AM,11208,BROOKLYN
06/20/2011 12:00:00 AM,10027,MANHATTAN
06/20/2011 12:00:00 AM,10305,STATEN ISLAND
06/20/2011 12:00:00 AM,10029,MANHATTAN
06/20/2011 12:00:00 AM,10024,MANHATTAN
06/20/2011 12:00:00 AM,11216,BROOKLYN
06/20/2011 12:00:00 AM,10312,STATEN ISLAND
06/20/2011 12:00:00 AM,10027,MANHATTAN
06/20/2011 12:00:00 AM,10303,STATEN ISLAND
06/20/2011 12:00:00 AM,10469,BRONX
06/20/2011 12:00:00 AM,11234,BROOKLYN
06/20/2011 12:00:00 AM,11213,BROOKLYN
06/20/2011 12:00:00 AM,11238,BROOKLYN
06/20/2011 12:00:00 AM,11691,QUEENS
06/20/2011 12:00:00 AM,11235,BROOKLYN
06/20/2011 12:00:00 AM,10040,MANHATTAN
06/20/2011 12:00:00 AM,11221,BROOKLYN
06/20/2011 12:00:00 AM,11216,BROOKLYN
06/20/2011 12:00:00 AM,11420,QUEENS
06/21/2011 12:00:00 AM,10456,BRONX
06/21/2011 12:00:00 AM,10003,MANHATTAN
06/21/2011 12:00:00 AM,11214,BROOKLYN
06/21/2011 12:00:00 AM,10456,BRONX
06/21/2011 12:00:00 AM,10454,BRONX
06/21/2011 12:00:00 AM,10457,BRONX
06/21/2011 12:00:00 AM,10472,BRONX
06/21/2011 12:00:00 AM,11219,BROOKLYN
06/21/2011 12:00:00 AM,11385,QUEENS
06/21/2011 12:00:00 AM,10303,STATEN ISLAND
06/21/2011 12:00:00 AM,10312,STATEN ISLAND
06/21/2011 12:00:00 AM,10453,BRONX
06/21/2011 12:00:00 AM,11213,BROOKLYN
06/21/2011 12:00:00 AM,11104,QUEENS
06/21/2011 12:00:00 AM,11434,QUEENS
06/21/2011 12:00:00 AM,11233,BROOKLYN
06/21/2011 12:00:00 AM,11105,QUEENS
06/21/2011 12:00:00 AM,10466,BRONX
06/21/2011 12:00:00 AM,10469,BRONX
06/21/2011 12:00:00 AM,11235,BROOKLYN
06/21/2011 12:00:00 AM,11385,QUEENS
06/21/2011 12:00:00 AM,11221,BROOKLYN
06/21/2011 12:00:00 AM,10013,MANHATTAN
06/21/2011 12:00:00 AM,10017,MANHATTAN
06/21/2011 12:00:00 AM,11217,BROOKLYN
06/21/2011 12:00:00 AM,11379,QUEENS
06/21/2011 12:00:00 AM,10312,STATEN ISLAND
06/21/2011 12:00:00 AM,11236,BROOKLYN
06/21/2011 12:00:00 AM,10036,MANHATTAN
06/21/2011 12:00:00 AM,,BROOKLYN
06/21/2011 12:00:00 AM,11216,BROOKLYN
06/21/2011 12:00:00 AM,11205,BROOKLYN
06/21/2011 12:00:00 AM,10467,BRONX
06/21/2011 12:00:00 AM,10312,STATEN ISLAND
06/21/2011 12:00:00 AM,11238,BROOKLYN
06/21/2011 12:00:00 AM,11385,QUEENS
06/21/2011 12:00:00 AM,10459,BRONX
06/21/2011 12:00:00 AM,10027,MANHATTAN
06/21/2011 12:00:00 AM,10032,MANHATTAN
06/21/2011 12:00:00 AM,10462,BRONX
06/21/2011 12:00:00 AM,11205,BROOKLYN
06/21/2011 12:00:00 AM,10453,BRONX
06/21/2011 12:00:00 AM,11238,BROOKLYN
06/21/2011 12:00:00 AM,10459,BRONX
06/21/2011 12:00:00 AM,11208,BROOKLYN
06/21/2011 12:00:00 AM,10031,MANHATTAN
06/22/2011 12:00:00 AM,11226,BROOKLYN
06/22/2011 12:00:00 AM,10453,BRONX
